filename,Openness,Vitality,Warmth,Structural_Stability
집_9_남_12468.json,60.06988078111234,86.71,42.731674946324844,86.82
집_9_남_11666.json,53.41593309859155,65.18,30.636954867224176,95.35
집_9_남_11125.json,88.67290674118843,74.88,92.43359375,80.37
집_9_남_10215.json,67.92947399353511,63.92,47.517578125,77.38
집_9_여_00180.json,81.27976887879268,69.87,32.410339541897144,89.11
집_9_남_09873.json,75.21659754186624,61.3,20.424522217826432,77.34
집_9_남_13984.json,77.66394037826927,76.6,56.59257401305695,84.34
집_9_남_11664.json,65.15377361558222,79.97,55.85888671875,46.46
집_9_남_08299.json,74.07075443997954,79.07,25.540624478952566,92.12
집_9_남_11477.json,64.52551154825679,73.33,74.062255859375,90.85
집_9_남_10216.json,57.68281911641386,73.74,59.21875,73.17
집_9_남_07565.json,76.94854146181581,65.36,38.6630859375,40.48
집_9_남_08776.json,63.14753200520298,66.28,34.78982951679593,74.6
집_9_남_13771.json,62.999952813718,72.42,53.2265625,85.93
집_9_남_10751.json,90.0,74.69,59.996337890625,75.89
집_9_남_13989.json,44.34869538780693,84.63,45.51353780002616,78.82
집_9_남_08407.json,68.39384090788002,72.13,71.99560546875,87.22
집_9_남_07503.json,60.41498454264412,69.38,53.466796875,94.54
집_9_남_08270.json,74.99123895090906,70.62,54.31789405994377,89.93
집_9_남_07909.json,66.29708776284784,73.27,51.66748046875,72.69
집_9_남_11086.json,64.31316576586032,66.11,42.17081576764362,91.16
집_9_남_08261.json,82.30992423115629,58.15,46.52734375,83.04
집_9_남_11891.json,64.65193674187142,74.9,33.16090275477681,89.22
집_9_남_10470.json,64.91497721200692,64.48,45.2099609375,74.43
집_9_여_00403.json,80.30456058883756,66.15,59.261962890625,82.24
집_9_남_09543.json,64.78999855470444,65.73,16.712824570476226,74.39
집_9_남_11952.json,83.27427796084513,79.36,69.99569238748343,63.02
집_9_남_12484.json,68.55866900175131,83.94,99.5703125,69.13
집_9_남_12580.json,66.59678241768758,79.79,20.16006316660211,87.19
집_9_남_11414.json,77.63432422916352,75.31,42.99365234375,82.97
집_9_남_10690.json,51.588436976056364,73.41,47.359619140625,80.27
집_9_남_08514.json,56.896546613309624,78.83,64.305908203125,71.09
집_9_남_13511.json,62.22797797797798,65.52,65.85302734375,71.14
집_9_남_10679.json,58.473421172194456,84.62,45.986794998189744,78.01
집_9_남_12909.json,81.9153384033059,73.18,21.54909040004167,88.68
집_9_남_10519.json,79.33494967305856,75.9,41.215282740350176,87.0
집_9_남_10452.json,69.97664563518222,69.24,61.42451100143316,74.35
집_9_남_10899.json,70.0,63.39,42.460904678869596,89.6
집_9_남_12840.json,52.324006451417624,70.09,36.16580253677973,85.39
집_9_남_09259.json,61.26528746404048,73.62,13.19751118919556,63.12
집_9_남_11122.json,74.43148938091046,65.5,46.745849609375,76.8
집_9_남_10868.json,72.87453565387837,74.08,44.82250910836339,94.06
집_9_남_12967.json,61.67738832368323,73.95,24.311791624000364,65.19
집_9_남_10074.json,65.43017211411757,68.96,46.1015625,87.25
집_9_남_10946.json,51.36160401827988,73.15,61.35009765625,72.16
집_9_남_10053.json,73.34912599102111,73.69,40.31239855652701,85.37
집_9_남_07830.json,77.77669080843417,84.13,42.733492693023216,93.09
집_9_남_10768.json,56.32101615922841,91.85,39.6611328125,82.41
집_9_남_13139.json,71.2532149827554,69.24,15.180027149020109,69.94
집_9_남_07337.json,61.41330622387891,72.82,19.28680153112822,78.8
집_9_남_09012.json,73.29321730543727,83.56,38.82212356749136,95.73
집_9_남_12725.json,50.0,59.57,37.485107421875,85.39
집_9_남_10789.json,72.21364297805363,74.78,46.5576171875,76.98
집_9_남_12907.json,72.55857854331137,69.04,51.40869140625,79.19
집_9_남_11375.json,55.1921278491985,74.15,34.31456184953062,64.38
집_9_남_13148.json,53.808144844270814,75.37,87.100830078125,83.62
집_9_여_00773.json,68.04606747609326,60.29,55.297566001648626,91.19
집_9_남_12092.json,70.0,94.09,39.67887656233632,89.12
집_9_남_12745.json,81.19826158940398,82.61,30.923789414921057,75.34
집_9_남_08182.json,62.8941503486958,68.36,60.225341796875,84.76
집_9_남_12232.json,63.518164454472895,59.11,57.296630859375,66.81
집_9_여_00378.json,72.65607107812293,69.7,42.69678832716539,87.04
집_9_남_09418.json,76.79130253849355,67.56,50.052490234375,82.53
집_9_남_10547.json,81.44493543635562,82.29,40.013416040383184,85.62
집_9_남_08810.json,60.590083456062835,73.79,42.3564453125,85.52
집_9_남_12883.json,75.34066367258444,56.18,41.73681640625,73.49
집_9_남_12927.json,49.514892774055504,66.39,25.353235128268153,90.35
집_9_남_10118.json,86.87215814488542,71.27,44.30701427478771,86.15
집_9_남_13164.json,74.39732275585013,83.63,43.949965360285326,76.37
집_9_남_12051.json,80.8626253132832,75.84,77.318115234375,65.51
집_9_남_10046.json,67.80131127226286,62.03,55.415771484375,73.62
집_9_남_09370.json,70.0,63.04,48.89404296875,84.93
집_9_남_11746.json,53.52113888354078,67.35,48.14599609375,85.7
집_9_남_09270.json,63.01333528364904,76.2,86.8212890625,81.79
집_9_남_07545.json,68.23948582553271,65.83,47.061416768810254,82.4
집_9_남_09325.json,75.8641725449018,74.63,27.149216101254805,82.72
집_9_여_00438.json,71.9660435652131,68.52,26.829405951063922,62.55
집_9_남_13901.json,58.15227865067426,67.79,53.33837890625,75.98
집_9_남_13753.json,72.32375897769693,69.58,57.55419921875,69.51
집_9_남_11486.json,76.12556607657473,75.32,23.222163523941035,56.49
집_9_남_13292.json,57.55066014354552,70.88,40.57946465917513,85.88
집_9_남_09661.json,66.5227269069077,70.06,43.101639566466766,84.13
집_9_남_12982.json,80.0,65.89,49.0966796875,75.94
집_9_남_13411.json,67.81899142525822,77.89,70.766357421875,86.81
집_9_남_13612.json,65.55618629854213,78.27,30.928874905338155,69.71
집_9_남_07411.json,70.0,67.59,27.70443330461886,68.37
집_9_남_10828.json,59.18691366821042,74.82,56.498046875,84.94
집_9_남_08751.json,54.940018412293746,65.91,53.41748046875,54.59
집_9_남_08130.json,80.70701712081022,68.08,49.30419921875,55.77
집_9_남_07549.json,73.90340594836661,62.06,41.86767578125,86.12
집_9_남_12667.json,74.40715175917937,74.33,51.84688668392292,83.95
집_9_남_08036.json,82.82423471704968,64.7,20.72557170021403,91.44
집_9_남_11100.json,86.92264858615934,65.2,48.837890625,78.19
집_9_남_11491.json,59.09476448265319,74.65,35.51904598093447,81.4
집_9_여_00519.json,81.30807596393632,63.98,35.66497191730495,84.63
집_9_남_13455.json,72.16828023235345,76.05,50.462646484375,73.36
집_9_남_10829.json,59.8583927327018,75.88,26.185680317802454,90.49
집_9_남_07678.json,51.747334178019315,75.77,27.355235346562036,89.15
집_9_남_12097.json,70.7240047929703,78.03,65.4345703125,74.98
집_9_남_08954.json,60.8865724129538,68.97,26.783521669401395,94.77
집_9_남_13278.json,85.48727706107428,67.09,70.24800812041316,81.59
집_9_남_08786.json,81.26889614608913,91.97,33.66002052361016,90.76
집_9_남_08680.json,76.47032741819471,73.76,57.974853515625,59.19
집_9_남_11980.json,88.8096229204645,62.24,46.33740234375,87.42
집_9_남_13934.json,57.11725955204216,89.71,18.807025881375775,79.98
집_9_남_13521.json,53.42479615353119,70.73,47.00390625,59.62
집_9_남_07758.json,90.0,62.2,48.0703125,85.22
집_9_남_12062.json,62.574576726686374,72.81,44.93994140625,85.29
집_9_남_11042.json,44.551410373066425,62.93,31.40181808171839,82.64
집_9_남_09801.json,69.61894906289525,74.18,38.77532333036757,73.64
집_9_남_10341.json,63.117514817085635,66.07,36.19151289416428,91.68
집_9_남_09039.json,63.56178900012907,63.4,45.8544921875,59.47
집_9_남_09523.json,70.0,81.18,36.864703505525966,82.76
집_9_남_08257.json,73.19005847953215,63.53,41.89892578125,88.47
집_9_남_10834.json,79.2958411986086,73.27,44.147216796875,82.41
집_9_남_11612.json,63.55733593172017,58.02,16.370548472207183,61.29
집_9_남_11217.json,82.52384652384652,78.33,47.8798828125,80.65
집_9_남_12317.json,72.58445183740584,70.14,77.60888671875,67.42
집_9_여_03997.json,73.20106927010693,70.25,39.15618462343096,90.21
집_9_남_08803.json,60.04107918499335,88.54,38.06209725377474,89.79
집_9_여_01442.json,80.0,60.59,40.490966796875,56.3
집_9_남_08634.json,54.12303590530984,59.58,42.538738475330696,82.47
